"region","scientific_name","common_name","redlist_status","habitat","url"
"North-West Pacific","Echinophyllia echinoporoides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinoporoides"
"Eastern Africa","Echinophyllia echinoporoides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinoporoides"
"East Asian Seas","Echinophyllia echinoporoides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinoporoides"
"Eastern Africa","Echinophyllia orpheensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20orpheensis"
"Red Sea and Gulf of Aden","Echinophyllia orpheensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20orpheensis"
"East Asian Seas","Echinophyllia orpheensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20orpheensis"
"North-West Pacific","Echinophyllia orpheensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20orpheensis"
"Pacific","Echinophyllia orpheensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20orpheensis"
"South Asian Seas","Echinophyllia orpheensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20orpheensis"
"East Asian Seas","Echinophyllia patula","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20patula"
"South Asian Seas","Echinophyllia patula","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20patula"
"North-West Pacific","Echinophyllia patula","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20patula"
"Pacific","Echinophyllia patula","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20patula"
"Pacific","Echinophyllia pectinata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20pectinata"
"East Asian Seas","Echinophyllia pectinata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20pectinata"
"East Asian Seas","Echinopora ashmorensis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20ashmorensis"
"Eastern Africa","Echinopora forskaliana","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20forskaliana"
"Red Sea and Gulf of Aden","Echinopora forskaliana","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20forskaliana"
"Red Sea and Gulf of Aden","Echinopora fruticulosa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20fruticulosa"
"Eastern Africa","Echinopora fruticulosa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20fruticulosa"
"Eastern Africa","Echinopora gemmacea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20gemmacea"
"Pacific","Echinopora gemmacea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20gemmacea"
"North-West Pacific","Echinopora gemmacea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20gemmacea"
"South Asian Seas","Echinopora gemmacea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20gemmacea"
"Red Sea and Gulf of Aden","Echinopora gemmacea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20gemmacea"
"ROPME Area","Echinopora gemmacea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20gemmacea"
"East Asian Seas","Echinopora gemmacea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20gemmacea"
"ROPME Area","Echinopora grandicula","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20grandicula"
"ROPME Area","Echinopora hirsutissima","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20hirsutissima"
"South Asian Seas","Echinopora hirsutissima","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20hirsutissima"
"Pacific","Echinopora hirsutissima","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20hirsutissima"
"East Asian Seas","Echinopora hirsutissima","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20hirsutissima"
"Eastern Africa","Echinopora hirsutissima","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20hirsutissima"
"Red Sea and Gulf of Aden","Echinopora hirsutissima","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20hirsutissima"
"Pacific","Echinopora horrida","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20horrida"
"South Asian Seas","Echinopora horrida","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20horrida"
"East Asian Seas","Echinopora horrida","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20horrida"
"Red Sea and Gulf of Aden","Echinopora irregularis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20irregularis"
"South Asian Seas","Echinopora lamellosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20lamellosa"
"Pacific","Echinopora lamellosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20lamellosa"
"North-West Pacific","Echinopora lamellosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20lamellosa"
"ROPME Area","Echinopora lamellosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20lamellosa"
"East Asian Seas","Echinopora lamellosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20lamellosa"
"Eastern Africa","Echinopora lamellosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20lamellosa"
"Red Sea and Gulf of Aden","Echinopora lamellosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20lamellosa"
"Pacific","Echinopora mammiformis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20mammiformis"
"Red Sea and Gulf of Aden","Echinopora mammiformis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20mammiformis"
"North-West Pacific","Echinopora mammiformis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20mammiformis"
"East Asian Seas","Echinopora mammiformis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20mammiformis"
"Eastern Africa","Echinopora mammiformis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20mammiformis"
"East Asian Seas","Echinopora pacificus","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20pacificus"
"Pacific","Echinopora pacificus","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20pacificus"
"North-West Pacific","Echinopora pacificus","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20pacificus"
"Eastern Africa","Echinopora robusta","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20robusta"
"South Asian Seas","Echinopora robusta","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20robusta"
"Pacific","Echinopora taylorae","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20taylorae"
"South Asian Seas","Echinopora taylorae","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20taylorae"
"East Asian Seas","Echinopora taylorae","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20taylorae"
"Red Sea and Gulf of Aden","Echinopora tiranensis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinopora%20tiranensis"
"Mediterranean","Eleocharis acicularis","Scirpe Ãƒâ€°pingle","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20acicularis"
"North-East Atlantic","Eleocharis acicularis","Scirpe Ãƒâ€°pingle","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20acicularis"
"Caspian Sea","Eleocharis acicularis","Scirpe Ãƒâ€°pingle","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20acicularis"
"Black Sea","Eleocharis acicularis","Scirpe Ãƒâ€°pingle","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20acicularis"
"Baltic Sea","Eleocharis acicularis","Scirpe Ãƒâ€°pingle","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20acicularis"
"North-East Atlantic","Eleocharis palustris","Common Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20palustris"
"Mediterranean","Eleocharis palustris","Common Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20palustris"
"Caspian Sea","Eleocharis palustris","Common Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20palustris"
"Baltic Sea","Eleocharis palustris","Common Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20palustris"
"Black Sea","Eleocharis palustris","Common Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20palustris"
"Black Sea","Eleocharis uniglumis","Slender Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20uniglumis"
"Mediterranean","Eleocharis uniglumis","Slender Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20uniglumis"
"Caspian Sea","Eleocharis uniglumis","Slender Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20uniglumis"
"North-East Atlantic","Eleocharis uniglumis","Slender Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20uniglumis"
"Baltic Sea","Eleocharis uniglumis","Slender Spike-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eleocharis%20uniglumis"
"Eastern Africa","Enhalus acoroides","Species code: Ea","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Enhalus%20acoroides"
"South Asian Seas","Enhalus acoroides","Species code: Ea","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Enhalus%20acoroides"
"Pacific","Enhalus acoroides","Species code: Ea","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Enhalus%20acoroides"
"East Asian Seas","Enhalus acoroides","Species code: Ea","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Enhalus%20acoroides"
"North-West Pacific","Enhalus acoroides","Species code: Ea","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Enhalus%20acoroides"
"Red Sea and Gulf of Aden","Enhalus acoroides","Species code: Ea","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Enhalus%20acoroides"
"South Asian Seas","Eriochloa procera","Spring Grass","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Eriochloa%20procera"
"Red Sea and Gulf of Aden","Erythrastrea flabellata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Erythrastrea%20flabellata"
"South Asian Seas","Erythrastrea flabellata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Erythrastrea%20flabellata"
"East Asian Seas","Euphyllia ancora","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20ancora"
"North-West Pacific","Euphyllia ancora","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20ancora"
"Pacific","Euphyllia ancora","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20ancora"
"South Asian Seas","Euphyllia ancora","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20ancora"
"North-West Pacific","Euphyllia cristata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20cristata"
"Eastern Africa","Euphyllia cristata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20cristata"
"Pacific","Euphyllia cristata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20cristata"
"East Asian Seas","Euphyllia cristata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20cristata"
"Pacific","Euphyllia divisa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20divisa"
"North-West Pacific","Euphyllia divisa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20divisa"
"East Asian Seas","Euphyllia divisa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20divisa"
"ROPME Area","Euphyllia glabrescens","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20glabrescens"
"Pacific","Euphyllia glabrescens","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20glabrescens"
"Eastern Africa","Euphyllia glabrescens","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20glabrescens"
"Red Sea and Gulf of Aden","Euphyllia glabrescens","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20glabrescens"
"East Asian Seas","Euphyllia glabrescens","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20glabrescens"
"North-West Pacific","Euphyllia glabrescens","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20glabrescens"
"South Asian Seas","Euphyllia glabrescens","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20glabrescens"
"East Asian Seas","Euphyllia paraancora","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20paraancora"
"North-West Pacific","Euphyllia paraancora","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20paraancora"
"Pacific","Euphyllia paraancora","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20paraancora"
"East Asian Seas","Euphyllia paradivisa","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20paradivisa"
"Pacific","Euphyllia paradivisa","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20paradivisa"
"East Asian Seas","Euphyllia paraglabrescens","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20paraglabrescens"
"Pacific","Euphyllia paraglabrescens","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20paraglabrescens"
"North-West Pacific","Euphyllia paraglabrescens","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20paraglabrescens"
"North-West Pacific","Euphyllia yaeyamaensis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20yaeyamaensis"
"Pacific","Euphyllia yaeyamaensis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20yaeyamaensis"
"East Asian Seas","Euphyllia yaeyamaensis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Euphyllia%20yaeyamaensis"
"Wider Caribbean","Eusmilia fastigiata","Smooth Flower Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Eusmilia%20fastigiata"
"North-East Pacific","Eusmilia fastigiata","Smooth Flower Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Eusmilia%20fastigiata"
"South Asian Seas","Excoecaria agallocha","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Excoecaria%20agallocha"
"Pacific","Excoecaria agallocha","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Excoecaria%20agallocha"
"East Asian Seas","Excoecaria agallocha","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Excoecaria%20agallocha"
"North-West Pacific","Excoecaria agallocha","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Excoecaria%20agallocha"
"East Asian Seas","Excoecaria indica","","DD","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Excoecaria%20indica"
"Pacific","Excoecaria indica","","DD","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Excoecaria%20indica"
